model,split,model_role,uses_current_other_station_targets,uses_query_current_targets,uses_query_pollutant_lags,target,mae_ug_m3,rmse_ug_m3,normalized_rmse,r2,bias_ug_m3
spatial_causal_extra_trees,test,randomized spatial and causal tree regression,True,False,True,O3,10.136543748437507,14.742904928818911,0.07969137799361574,0.9315196582758427,0.6307685291666696
spatial_causal_extra_trees,test,randomized spatial and causal tree regression,True,False,True,SO2,3.6575730079166657,6.31557584479663,0.09426232604174074,0.7702154859039503,1.9637765912500003
spatial_causal_extra_trees,test,randomized spatial and causal tree regression,True,False,True,NO2,8.415073610703114,12.838725310638795,0.11998808701531584,0.8729004247419714,-0.04017694997395668
spatial_causal_extra_trees,test,randomized spatial and causal tree regression,True,False,True,PM2.5,11.85003226562498,21.802845040942074,0.09953364547337204,0.9353247809111435,-2.0966375781249984
spatial_causal_extra_trees,test,randomized spatial and causal tree regression,True,False,True,PM10,18.7203895572917,31.19738161348144,0.11817190005106606,0.8919462111828862,2.6675125781250015
validation_selected_per_target_fusion,validation,validation selected targetwise sensor fusion,True,False,True,CO,166.470583887217,308.7746216810714,0.10292487389369046,0.9466292076062528,9.241122421211266
validation_selected_per_target_fusion,validation,validation selected targetwise sensor fusion,True,False,True,O3,5.581958232147986,8.626814180872532,0.04663142800471639,0.9668040613623147,0.10196834820760302
validation_selected_per_target_fusion,validation,validation selected targetwise sensor fusion,True,False,True,SO2,2.06265050684133,3.7830938186365515,0.056464086845321663,0.9364945314859416,0.004129741143276453
validation_selected_per_target_fusion,validation,validation selected targetwise sensor fusion,True,False,True,NO2,5.759173935192981,8.837314170181445,0.08259172121664902,0.9399995831695462,-0.231069003992063
validation_selected_per_target_fusion,validation,validation selected targetwise sensor fusion,True,False,True,PM2.5,9.1634087764824,16.334050570565402,0.07456768121691604,0.9688429980789061,0.27149160260641336
validation_selected_per_target_fusion,validation,validation selected targetwise sensor fusion,True,False,True,PM10,13.820105684639891,22.940170054018644,0.0868945835379494,0.9467857099090543,0.23077890111617447
validation_selected_per_target_fusion,test,validation selected targetwise sensor fusion,True,False,True,CO,191.688173167204,406.68850090740983,0.13556283363580326,0.907693785835181,4.210225023311649
validation_selected_per_target_fusion,test,validation selected targetwise sensor fusion,True,False,True,O3,7.149223290994351,11.619856671993325,0.06281003606482878,0.9574596233016367,-0.07569728637391523
validation_selected_per_target_fusion,test,validation selected targetwise sensor fusion,True,False,True,SO2,1.8673170507572778,4.820309400977321,0.07194491643249733,0.8661418935609186,-0.04683160689630744
validation_selected_per_target_fusion,test,validation selected targetwise sensor fusion,True,False,True,NO2,6.303809128684673,10.307495159226933,0.0963317304600648,0.918076864852773,-0.0861863067171503
validation_selected_per_target_fusion,test,validation selected targetwise sensor fusion,True,False,True,PM2.5,8.87923410727613,16.25014877160903,0.07418465542848246,0.9640725614731566,-0.4349866080858054
validation_selected_per_target_fusion,test,validation selected targetwise sensor fusion,True,False,True,PM10,14.58783281922035,24.42147308509057,0.09250557986776732,0.9337863662275913,0.1390364380648631
