pilots,sigma,quantile,scenario,gas,bias_ratio,sd_ratio,rmse_ratio
3000,0.0,0.5,combined,SO2,-3.874327817861298,1.8403913514346566,4.289225613871269
3000,0.0,0.5,combined,NO2,-8.37875821709057,38.36765208276119,39.271876904526366
3000,0.0,0.95,matched,CO,2.565621884396965e-15,0.31439491003030107,0.31439491003030107
3000,0.0,0.95,matched,O3,3.4464129642676025e-14,3.951780223268416,3.951780223268416
3000,0.0,0.95,matched,SO2,-2.0361910905824082e-14,1.8403913514346566,1.8403913514346566
3000,0.0,0.95,matched,NO2,2.363033692427656e-14,38.36765208276119,38.36765208276119
3000,0.0,0.95,temperature_plus_5K,CO,-0.4236626713417936,0.31439491003030107,0.5275738986544214
3000,0.0,0.95,temperature_plus_5K,O3,1.6697500503694833,3.951780223268416,4.290062023295731
3000,0.0,0.95,temperature_plus_5K,SO2,-2.978803317051314,1.8403913514346566,3.5014724799877257
3000,0.0,0.95,temperature_plus_5K,NO2,-5.6790280738886025,38.36765208276119,38.78566856724045
3000,0.0,0.95,pressure_minus_2000Pa,CO,-0.01787607307850747,0.31439491003030107,0.31490270472269566
3000,0.0,0.95,pressure_minus_2000Pa,O3,-0.8230308277631317,3.951780223268416,4.036576108097535
3000,0.0,0.95,pressure_minus_2000Pa,SO2,-0.9908686265470399,1.8403913514346566,2.0901820402803915
3000,0.0,0.95,pressure_minus_2000Pa,NO2,-2.856171363354669,38.36765208276119,38.47381500710134
3000,0.0,0.95,height_1200m,CO,-0.1843485457412559,0.31439491003030107,0.3644565073775978
3000,0.0,0.95,height_1200m,O3,-0.4321166351073805,3.951780223268416,3.975335422244505
3000,0.0,0.95,height_1200m,SO2,-0.38919628614236446,1.8403913514346566,1.8810938508172554
3000,0.0,0.95,height_1200m,NO2,-0.7603726563333382,38.36765208276119,38.37518590079152
3000,0.0,0.95,combined,CO,-0.6123384112707067,0.31439491003030107,0.6883331238364853
3000,0.0,0.95,combined,O3,0.4296229519195376,3.951780223268416,3.975065133281646
3000,0.0,0.95,combined,SO2,-4.23762821607599,1.8403913514346566,4.620014418172183
3000,0.0,0.95,combined,NO2,-9.080971744218566,38.36765208276119,39.42766508637184
3000,0.001,0.5,matched,CO,6.810703252253681e-15,0.31516053754000206,0.31516053754000206
3000,0.001,0.5,matched,O3,-2.674505829214611e-14,3.964852645408232,3.964852645408232
3000,0.001,0.5,matched,SO2,1.4223723633831367e-14,1.8458002700750171,1.8458002700750171
3000,0.001,0.5,matched,NO2,-2.7871294653028163e-13,38.50093851852036,38.50093851852036
3000,0.001,0.5,temperature_plus_5K,CO,-0.4079153552317786,0.31516053754000206,0.5154814268781864
3000,0.001,0.5,temperature_plus_5K,O3,1.732711135300139,3.964852645408232,4.32693244437601
3000,0.001,0.5,temperature_plus_5K,SO2,-2.940941247212219,1.8458002700750171,3.472191535120603
3000,0.001,0.5,temperature_plus_5K,NO2,-5.552774667138273,38.50093851852036,38.89930042187002
3000,0.001,0.5,pressure_minus_2000Pa,CO,-0.024834706239277637,0.31516053754000206,0.3161375128903469
3000,0.001,0.5,pressure_minus_2000Pa,O3,-0.8374532562034307,3.964852645408232,4.052330743674112
3000,0.001,0.5,pressure_minus_2000Pa,SO2,-1.0093593768849418,1.8458002700750171,2.1037549735448198
3000,0.001,0.5,pressure_minus_2000Pa,NO2,-2.7224219451371763,38.50093851852036,38.597070459482396
3000,0.001,0.5,height_1200m,CO,-0.0518644209668623,0.31516053754000206,0.31939956572408007
3000,0.001,0.5,height_1200m,O3,-0.11616264845060727,3.964852645408232,3.9665539528280354
3000,0.001,0.5,height_1200m,SO2,-0.04840161346893779,1.8458002700750171,1.8464347681939384
3000,0.001,0.5,height_1200m,NO2,-0.33103941159824524,38.50093851852036,38.50236166651229
3000,0.001,0.5,combined,CO,-0.47346235861418773,0.31516053754000206,0.5687642476870471
3000,0.001,0.5,combined,O3,0.7840255791548367,3.964852645408232,4.041627470285915
3000,0.001,0.5,combined,SO2,-3.8844799347021155,1.8458002700750171,4.300716568214227
3000,0.001,0.5,combined,NO2,-8.460372642000948,38.50093851852036,39.41954048499807
3000,0.001,0.95,matched,CO,2.5719470208070888e-15,0.31516053754000206,0.31516053754000206
3000,0.001,0.95,matched,O3,3.4474750089149815e-14,3.964852645408232,3.964852645408232
3000,0.001,0.95,matched,SO2,-2.0355627930970234e-14,1.8458002700750171,1.8458002700750171
3000,0.001,0.95,matched,NO2,2.374172646208859e-14,38.50093851852036,38.50093851852036
3000,0.001,0.95,temperature_plus_5K,CO,-0.4239674658351864,0.31516053754000206,0.5282750954845524
3000,0.001,0.95,temperature_plus_5K,O3,1.6781775368503398,3.964852645408232,4.305384575736496
3000,0.001,0.95,temperature_plus_5K,SO2,-2.9853345435155667,1.8458002700750171,3.5098719312414097
3000,0.001,0.95,temperature_plus_5K,NO2,-5.756914036644492,38.50093851852036,38.928965129222206
3000,0.001,0.95,pressure_minus_2000Pa,CO,-0.017794658300089305,0.31516053754000206,0.3156625006023363
3000,0.001,0.95,pressure_minus_2000Pa,O3,-0.8249206806397589,3.964852645408232,4.0497593297809455
3000,0.001,0.95,pressure_minus_2000Pa,SO2,-0.9948605549591392,1.8458002700750171,2.0968371803319905
3000,0.001,0.95,pressure_minus_2000Pa,NO2,-2.860982276908482,38.50093851852036,38.60709114133916
3000,0.001,0.95,height_1200m,CO,-0.18435128558480934,0.31516053754000206,0.365118557347165
3000,0.001,0.95,height_1200m,O3,-0.43217710437037665,3.964852645408232,3.9883371910286893
3000,0.001,0.95,height_1200m,SO2,-0.3891867109084042,1.8458002700750171,1.8863840894570512
3000,0.001,0.95,height_1200m,NO2,-0.7602605628047423,38.50093851852036,38.50844404712089
3000,0.001,0.95,combined,CO,-0.6125693290004286,0.31516053754000206,0.6888884868064921
3000,0.001,0.95,combined,O3,0.43598705577365116,3.964852645408232,3.9887518364273844
3000,0.001,0.95,combined,SO2,-4.247792646360542,1.8458002700750171,4.631492308477227
3000,0.001,0.95,combined,NO2,-9.162602838246421,38.50093851852036,39.57619938268865
30000,0.0,0.5,matched,CO,6.809957089410028e-15,0.09942040004595361,0.09942040004595361
