model,pilots,residual_std_db,rho,gas,predicted_sd_ratio,empirical_rmse_ratio,deterministic_bias_allowance_db,independent_fit_actual_sd_ratio,pilot_time_lower_bound_s,pilot_energy_lower_bound_j
power,300,0.01,0.0,SO2,28.368782327732628,27.950728999891755,,28.368782327732628,0.0003,5.985786944906639e-05
power,300,0.01,0.0,NO2,732.9977278294132,740.1010714382863,,732.9977278294132,0.0003,5.985786944906639e-05
power,300,0.01,0.9,CO,5.354048535391512,5.2936391803298335,,5.354110754624207,0.0003,5.985786944906639e-05
power,300,0.01,0.9,O3,75.0031755311127,74.79713731236205,,75.00389657028113,0.0003,5.985786944906639e-05
power,300,0.01,0.9,SO2,28.41100090872518,27.992766930456014,,28.41124493528032,0.0003,5.985786944906639e-05
power,300,0.01,0.9,NO2,733.6714024881094,740.8105051790263,,733.6784424077748,0.0003,5.985786944906639e-05
power,3000,0.0,0.0,CO,1.6893717069016891,1.6703558535044487,,1.6893717069016891,0.003,0.0005985786944906639
power,3000,0.0,0.0,O3,23.652387305729523,23.587955590814474,,23.652387305729523,0.003,0.0005985786944906639
power,3000,0.0,0.0,SO2,8.964406056563126,8.832297512525003,,8.964406056563126,0.003,0.0005985786944906639
power,3000,0.0,0.0,NO2,231.6193670828186,233.86363834386847,,231.6193670828186,0.003,0.0005985786944906639
power,3000,0.0,0.9,CO,1.6893717069016891,1.6703558535044487,,1.6893717069016891,0.003,0.0005985786944906639
power,3000,0.0,0.9,O3,23.652387305729523,23.587955590814474,,23.652387305729523,0.003,0.0005985786944906639
power,3000,0.0,0.9,SO2,8.964406056563126,8.832297512525003,,8.964406056563126,0.003,0.0005985786944906639
power,3000,0.0,0.9,NO2,231.6193670828186,233.86363834386847,,231.6193670828186,0.003,0.0005985786944906639
power,3000,0.001,0.0,CO,1.6895004228160648,1.6704831565901153,,1.6895004228160648,0.003,0.0005985786944906639
power,3000,0.001,0.0,O3,23.654188659394045,23.589751410626054,,23.654188659394045,0.003,0.0005985786944906639
power,3000,0.001,0.0,SO2,8.965065337655068,8.83294763800121,,8.965065337655068,0.003,0.0005985786944906639
